Time,Open,High,Low,Close,Volume
04/19/2021 00:00:00,31.6752,31.9336,30.6249,31.8817,8173.16
04/19/2021 01:00:00,31.9405,32.3568,31.7392,31.927,5852.26
04/19/2021 02:00:00,31.9274,32.4558,31.6353,32.4208,3640.59
04/19/2021 03:00:00,32.4188,32.5829,32.0901,32.4272,5156.3
04/19/2021 04:00:00,32.4297,32.6799,32.1373,32.202,3021.29
04/19/2021 05:00:00,32.1761,32.2796,31.6416,31.6416,4931.03
04/19/2021 06:00:00,31.7052,32.1291,31.6568,32.091,4634.71
04/19/2021 07:00:00,32.1154,32.4102,31.9386,32.251,2792.43
04/19/2021 08:00:00,32.3489,32.4495,31.829,31.9008,1358.37
04/19/2021 09:00:00,31.9812,32.2591,31.5625,31.8093,3725.79
04/19/2021 10:00:00,31.792,31.792,30.8777,31.2744,3451.93
04/19/2021 11:00:00,31.3399,31.9656,31.2119,31.8656,2176.75
04/19/2021 12:00:00,31.8968,31.8983,31.5034,31.5034,3030.45
04/19/2021 13:00:00,31.6064,31.9644,31.0366,31.4025,5892.7
04/19/2021 14:00:00,31.2902,31.3093,29.6456,30.2139,19099.07
04/19/2021 15:00:00,30.2016,30.333,29.4397,29.9628,11362.28
04/19/2021 16:00:00,30.0259,30.7142,29.87,30.1837,3477.33
04/19/2021 17:00:00,30.2024,31.4545,30.0091,31.24,3848.56
04/19/2021 18:00:00,31.269,31.9557,31.269,31.7954,3644.97
04/19/2021 19:00:00,31.8087,32.3233,31.7189,32.1925,5246.41
04/19/2021 20:00:00,32.2444,32.6664,32.0106,32.4845,4314.87
04/19/2021 21:00:00,32.5301,32.6932,32.0456,32.348,3901.7
04/19/2021 22:00:00,32.4387,32.7503,31.9205,32.1291,6156.21
04/19/2021 23:00:00,32.0701,32.3377,31.19,31.4346,5426.5
04/20/2021 00:00:00,31.3639,31.5602,29.7014,30.2654,6639.65
04/20/2021 01:00:00,30.2914,30.8248,29.8533,30.0651,2656.71
04/20/2021 02:00:00,30.1285,30.2506,29.1119,30,4570.71
04/20/2021 03:00:00,29.8719,30.0433,29.3656,29.6746,4944.44
04/20/2021 04:00:00,29.6491,30.2818,29.3755,30.1428,6036.39
04/20/2021 05:00:00,30.1204,30.2442,29.6292,29.763,2528
04/20/2021 06:00:00,29.8134,29.978,28.2849,28.6459,12231.28
04/20/2021 07:00:00,28.609,29.1909,28.4081,29.1246,14956.8
04/20/2021 08:00:00,29.1523,29.899,29.0018,29.7687,4418.11
04/20/2021 09:00:00,29.6794,30.0095,29.6244,29.7681,2117.51
04/20/2021 10:00:00,29.8314,30.7174,29.8314,30.5001,4355.48
